audit_id,item_id,system,score,judge_pass1_raw,judge_pass2_raw,is_refusal
1,vector_rag|qiaojia_only|B2,vector_rag,1,1,1,True
2,graphrag_pre|maduo_narrative|D1,graphrag_pre,1,1,2,False
3,graphrag_pre|ridgecrest_only|B18,graphrag_pre,2,2,2,False
4,vector_rag|ridgecrest_only|A13,vector_rag,1,1,1,False
5,graphrag_post2|maduo_only|B3,graphrag_post2,0,0,0,False
6,vector_rag|qiaojia_only|B6,vector_rag,1,1,1,True
7,graphrag_post2|ridgecrest_only|C18,graphrag_post2,1,1,1,True
8,graphrag_pre|ridgecrest_only|D14,graphrag_pre,1,1,1,False
9,graphrag_post2|ridgecrest_only|B17,graphrag_post2,1,1,1,False
10,vector_rag|ridgecrest_only|C13,vector_rag,2,2,2,False
11,vector_rag|qiaojia_only|C17,vector_rag,0,0,0,False
12,graphrag_pre|qiaojia_only|A13,graphrag_pre,2,2,2,False
13,graphrag_post2|ridgecrest_only|A11,graphrag_post2,2,2,2,False
14,graphrag_pre|qiaojia_narrative|A17,graphrag_pre,2,2,2,False
15,vector_rag|ridgecrest_only|A20,vector_rag,2,2,2,False
16,vector_rag|ridgecrest_only|C2,vector_rag,2,2,2,False
17,graphrag_post2|qiaojia_only|A12,graphrag_post2,2,2,2,False
18,graphrag_pre|maduo_only|B5,graphrag_pre,1,1,1,True
19,vector_rag|ridgecrest_only|E8,vector_rag,2,2,2,False
20,graphrag_pre|ridgecrest_narrative|A8,graphrag_pre,2,2,2,False
21,graphrag_pre|qiaojia_narrative|D10,graphrag_pre,1,1,1,False
22,graphrag_post2|ridgecrest_narrative|E3,graphrag_post2,2,2,2,False
23,vector_rag|maduo_only|C4,vector_rag,1,1,1,True
24,graphrag_pre|ridgecrest_narrative|D2,graphrag_pre,1,1,1,True
25,graphrag_pre|qiaojia_narrative|E13,graphrag_pre,2,2,2,False
26,vector_rag|ridgecrest_only|A8,vector_rag,1,1,1,True
27,vector_rag|qiaojia_only|B15,vector_rag,1,1,1,True
28,graphrag_post2|maduo_only|D19,graphrag_post2,3,3,3,True
29,graphrag_pre|ridgecrest_only|A4,graphrag_pre,0,0,0,False
30,graphrag_pre|maduo_narrative|C3,graphrag_pre,0,0,0,False
31,graphrag_pre|qiaojia_narrative|C13,graphrag_pre,0,0,0,False
32,vector_rag|maduo_only|D5,vector_rag,3,3,3,True
33,graphrag_post2|maduo_narrative|B9,graphrag_post2,1,1,1,True
34,graphrag_pre|maduo_narrative|D2,graphrag_pre,0,0,0,False
35,graphrag_post2|maduo_only|C8,graphrag_post2,1,1,1,True
36,vector_rag|maduo_only|A18,vector_rag,1,1,1,True
37,vector_rag|ridgecrest_only|E1,vector_rag,1,1,1,False
38,vector_rag|ridgecrest_only|D5,vector_rag,3,3,3,True
39,graphrag_pre|qiaojia_only|D8,graphrag_pre,1,1,1,False
40,graphrag_post2|ridgecrest_only|C2,graphrag_post2,2,2,2,False
41,graphrag_pre|qiaojia_narrative|D17,graphrag_pre,2,2,2,False
42,graphrag_post2|qiaojia_only|C15,graphrag_post2,0,0,0,False
43,graphrag_pre|maduo_narrative|E3,graphrag_pre,2,2,2,False
44,graphrag_post2|maduo_narrative|D11,graphrag_post2,1,1,1,True
45,vector_rag|maduo_only|E18,vector_rag,1,1,1,True
46,graphrag_pre|maduo_narrative|C5,graphrag_pre,0,0,0,False
47,graphrag_post2|qiaojia_narrative|D5,graphrag_post2,2,2,2,False
48,graphrag_post2|qiaojia_only|E8,graphrag_post2,2,2,2,False
49,graphrag_pre|ridgecrest_only|E11,graphrag_pre,2,2,2,False
50,vector_rag|maduo_only|A16,vector_rag,1,1,1,True
51,graphrag_pre|ridgecrest_narrative|C16,graphrag_pre,2,2,2,False
52,vector_rag|ridgecrest_only|B16,vector_rag,1,1,1,True
53,graphrag_post2|ridgecrest_narrative|A5,graphrag_post2,2,2,2,False
54,vector_rag|maduo_only|B14,vector_rag,1,1,1,True
55,graphrag_pre|qiaojia_only|E3,graphrag_pre,3,3,3,False
56,graphrag_post2|ridgecrest_only|D1,graphrag_post2,3,3,3,True
57,graphrag_pre|qiaojia_only|C19,graphrag_pre,2,2,2,False
58,vector_rag|qiaojia_only|A3,vector_rag,1,1,1,True
59,vector_rag|qiaojia_only|D11,vector_rag,3,3,3,True
60,graphrag_pre|maduo_only|E5,graphrag_pre,0,0,0,False
61,graphrag_pre|maduo_only|D5,graphrag_pre,1,1,0,False
62,graphrag_post2|ridgecrest_narrative|B18,graphrag_post2,2,2,2,False
63,graphrag_post2|qiaojia_only|B9,graphrag_post2,0,0,0,False
64,vector_rag|qiaojia_only|A19,vector_rag,2,2,2,False
65,vector_rag|maduo_only|B7,vector_rag,1,1,1,True
66,graphrag_post2|maduo_only|A13,graphrag_post2,1,1,1,True
67,vector_rag|maduo_only|C13,vector_rag,0,0,0,False
68,vector_rag|qiaojia_only|A20,vector_rag,1,2,1,True
69,graphrag_pre|ridgecrest_only|B13,graphrag_pre,0,0,1,False
70,graphrag_pre|qiaojia_narrative|D15,graphrag_pre,2,2,2,False
71,graphrag_pre|ridgecrest_narrative|C8,graphrag_pre,2,2,2,False
72,graphrag_pre|maduo_only|A13,graphrag_pre,1,1,1,False
73,graphrag_post2|qiaojia_narrative|C10,graphrag_post2,0,0,0,False
74,graphrag_post2|maduo_narrative|D20,graphrag_post2,2,2,2,False
75,graphrag_post2|maduo_only|B13,graphrag_post2,1,1,1,True
76,vector_rag|qiaojia_only|C16,vector_rag,1,1,1,True
77,graphrag_post2|qiaojia_only|D11,graphrag_post2,3,3,3,True
78,graphrag_post2|ridgecrest_narrative|C18,graphrag_post2,0,0,0,False
79,graphrag_post2|ridgecrest_narrative|A14,graphrag_post2,2,2,2,False
80,graphrag_post2|maduo_only|A3,graphrag_post2,1,1,1,True
81,graphrag_pre|maduo_only|C2,graphrag_pre,1,1,1,False
82,graphrag_pre|ridgecrest_narrative|D12,graphrag_pre,3,3,3,False
83,graphrag_pre|ridgecrest_narrative|D18,graphrag_pre,2,2,2,False
84,vector_rag|maduo_only|B3,vector_rag,1,1,1,True
85,graphrag_post2|ridgecrest_narrative|E18,graphrag_post2,2,2,2,False
86,graphrag_pre|maduo_only|B3,graphrag_pre,0,0,0,False
87,vector_rag|qiaojia_only|C10,vector_rag,1,1,1,True
88,graphrag_post2|ridgecrest_only|D12,graphrag_post2,3,3,3,True
