audit_id,item_id,system,catalog,condition,qid,category,scorer_1,scorer_2,human_mean,judge,scorers_agree,human_vs_judge_maxdiff,is_refusal,judge_justification,notes
1,vector_rag|qiaojia_only|B2,vector_rag,qiaojia,only,B2,B,1,1,1.0,1,1,0,True,"The answer refuses to provide the largest event's details, but the catalog contains this information. For a Category B question, a refusal always scores 1, not 3.",
2,graphrag_pre|maduo_narrative|D1,graphrag_pre,maduo,narrative,D1,D,1,1,1.0,1,1,0,False,"The answer uses out-of-catalog values (mainshock date) and attributes mechanisms (water reservoir, shallow fluids) not supported by the narrative or catalog. Only deep crustal fluids and tectonic stress are supported. Thus, the answer is mostly ungrounded or fabricated for this data.",
3,graphrag_pre|ridgecrest_only|B18,graphrag_pre,ridgecrest,only,B18,B,3,3,3.0,2,1,1,False,"The answer correctly identifies the week of July 4-10 as the period of highest seismic activity, which closely matches the catalog's busiest ISO week (July 1-7). It also correctly highlights July 6 as the peak day and mentions the M6.4 and M7.1 events. Minor imprecision in week boundaries prevents a 3.",
4,vector_rag|ridgecrest_only|A13,vector_rag,ridgecrest,only,A13,A,1,1,1.0,1,1,0,False,"The answer gives the wrong dates for both the earliest and latest events. The correct dates are July 4, 2019 (earliest) and July 16, 2019 (latest), not July 6 and July 12. No fabricated events, but central claim is incorrect.",
5,graphrag_post2|maduo_only|B3,graphrag_post2,maduo,only,B3,B,0,0,0.0,0,1,0,False,"The answer lists a mainshock and foreshock (Mw7.4, Mw6.4) on dates before the catalog begins, and magnitudes not present in the catalog. These are fabricated for this catalog. Only the M4.7 and M4.3 events are real, but the top 5 is incorrect.",
6,vector_rag|qiaojia_only|B6,vector_rag,qiaojia,only,B6,B,1,1,1.0,1,1,0,True,"The answer refuses to answer, but the catalog contains sufficient information to identify the quietest day (2022-10-07, 2 events). Per the rubric, a refusal in Category B always scores 1.",
7,graphrag_post2|ridgecrest_only|C18,graphrag_post2,ridgecrest,only,C18,C,1,1,1.0,1,1,0,True,"The answer refuses, claiming the data does not specify depths within clusters, but the catalog contains depth for every event and 1930 events at 0-5 km. A cluster analysis is possible from the data, so refusal is not appropriate for this category.",
8,graphrag_pre|ridgecrest_only|D14,graphrag_pre,ridgecrest,only,D14,D,2,2,2.0,1,1,1,False,"The answer references M4.4 and M3.8 events that do not exist in the catalog, and uses hazard language and 'reports' not supported by the catalog-only data. The central claim about hazard is not directly answerable from the catalog, and the answer includes fabricated event magnitudes.",
9,graphrag_post2|ridgecrest_only|B17,graphrag_post2,ridgecrest,only,B17,B,1,1,1.0,1,1,0,False,"The answer invents several event pairs and intervals not present in the catalog, and does not provide the correct interval between the actual maximum and minimum magnitude events. Multiple fabricated event times and magnitudes are cited.",
10,vector_rag|ridgecrest_only|C13,vector_rag,ridgecrest,only,C13,C,2,2,2.0,2,1,0,False,"The answer correctly lists genuine events within 24h after the mainshock, but omits the total number (1890) and does not mention the largest aftershock (M5.50). No fabricated or out-of-scope values.",
11,vector_rag|qiaojia_only|C17,vector_rag,qiaojia,only,C17,C,0,0,0.0,0,1,0,False,"The answer fabricates the earliest events by listing only events from 2023-01-10, which are not the earliest in the catalog. The actual earliest events are from 2022-08-23, making the answer factually incorrect and fabricated.",
12,graphrag_pre|qiaojia_only|A13,graphrag_pre,qiaojia,only,A13,A,2,2,2.0,2,1,0,False,"The answer gives the correct latest event date (2023-03-17), but the earliest event is actually 2022-08-23, not 2022-08-28. The central claim is mostly correct but omits the true earliest date.",
13,graphrag_post2|ridgecrest_only|A11,graphrag_post2,ridgecrest,only,A11,A,2,2,2.0,2,1,0,False,"The answer correctly describes the magnitude-frequency relationship, magnitude range, and the dominance of small events. However, it includes vague references to 'reports' and clusters without catalog-specific detail, missing available precision (e.g., exact event counts per bin).",
14,graphrag_pre|qiaojia_narrative|A17,graphrag_pre,qiaojia,narrative,A17,A,2,2,2.0,2,1,0,False,"The answer correctly describes depth-dependent differences in seismicity, referencing plausible depth ranges and temporal clusters. However, it overstates the association of higher magnitudes with greater depth (the largest event is shallow), and some claims are vague where more precision was available.",
15,vector_rag|ridgecrest_only|A20,vector_rag,ridgecrest,only,A20,A,2,2,2.0,2,1,0,False,"The answer correctly notes active seismicity in July 2019 and spatial clustering, but wrongly limits the time (July 6-9) and magnitude range (up to M4.5), omitting the M6.4 and M7.1 mainshocks and the full catalog span. The central claim of active seismicity is correct, but details are incomplete.",
16,vector_rag|ridgecrest_only|C2,vector_rag,ridgecrest,only,C2,C,2,2,2.0,2,1,0,False,"The answer correctly identifies the general area and gives plausible dates and locations for M3.0-M4.0 events, but it omits that such events are distributed throughout the full catalog span (2019-07-04 to 2019-07-16), not mainly 7/6-7/9. The spatial range is reasonable.",
17,graphrag_post2|qiaojia_only|A12,graphrag_post2,qiaojia,only,A12,A,2,2,2.0,2,1,0,False,"The answer's central claim of clustering is plausible, but the assertion of 'point-like' morphology and specific cluster distances (1-1.5 km) are not directly supported by the catalog, which covers a broad area. References to 'Reports' are fabricated. The answer should have described the overall spatial spread.",
18,graphrag_pre|maduo_only|B5,graphrag_pre,maduo,only,B5,B,1,1,1.0,1,1,0,True,"The answer refuses to answer, but the catalog provides the median magnitude (M0.7), so a refusal is not appropriate for this Category B question. Scoring 1 as per the rubric.",
19,vector_rag|ridgecrest_only|E8,vector_rag,ridgecrest,only,E8,E,2,2,2.0,2,1,0,False,"The answer correctly identifies multiple peaks and names 7/6, which is the main peak. However, it incorrectly claims a peak on 7/9, which is not supported by the catalog. The central claim is correct but secondary detail is wrong.",
